name;base_fond;science_fond;ams;n_buildings;n_days;guests;employees
Кяхтинский краеведческий музей им.В.Обручева;100917;22062;6650;10;311;21.4;27
Историко-краеведческий музей им.И.В.Бабушкина;155;1422;0;1;300;5;2
Национальный музей Республики Бурятия;77364;69661;44216;4;311;160.9;84
Самарский обл. художественный музей;17561;369;17930;3;310;82;76
Самарский литературно-мемориальный музей им.М.Горького;42334;22017;7133;5;357;46.3;36
Тольяттинский краеведческий музей;47235;24196;28912;3;295;208.8;40
Сызранский краеведческий музей;37643;16778;7670;4;299;37.1;43
Дом-музей В.И.Ленина в Самаре;1692;478;0;2;306;31.5;10
Музей истории г.Новокуйбышевска;13692;6704;20396;4;340;63.8;21
Ленинск-Кузнецкий выставочный зал;196;0;196;1;311;16;10
Сергиевский ист.-краеведческий музей;5745;2700;3331;1;256;20.7;6
Октябрьский гор. краеведческий музей;16156;8498;22188;1;241;9.1;8
Олонский краеведческий музей им.В.Ф.Раевского;6721;224;0;1;246;1.5;2
Заларинский историко-краеведческий музей;5400;5600;20;2;226;13.1;5
Музей истории города Иркутска им.А.М.Сибирякова;53207;1688;39306;8;277;62.5;113
Куйтунский краеведческий музей;3731;2792;0;1;275;3.2;3
Краеведческий музей Аларского района;3340;5219;0;2;247;5.6;7
"Музей ""Царскосельская коллекция""";6050;1499;6098;1;254;10.5;24
Саянский краеведческий музей;3514;1357;1062;1;247;8.1;4
Краеведческий музей района им.Лазо;20494;7099;0;1;318;11.8;7
Алейский историко-краеведческий музей;15919;3399;0;1;266;7;5
Бурлинский краеведческий музей;6286;2090;0;1;253;2.8;2
Ключевский краеведческий музей;5754;3403;0;1;247;4.1;2
Тарский художественный музей;518;33;518;1;310;19.2;4
Марьяновский ист.-художественный музей;10959;1948;4189;3;308;22.3;11
Омский гос.историко-краеведческий музей;212567;30710;190327;6;313;187.2;101
"Омский гос. музей-заповедник ""Старина Сибирская""";15495;5417;8157;16;312;37.6;77
Тарский историко-краеведческий музей;14656;1776;13055;6;310;18;15
Омский обл.музей изоискусств им.Врубеля;28142;3068;31210;2;312;165.8;126
Калачинский ист.-краеведческий музей;8417;3557;5302;5;305;11.5;6
Омский гос.литературный музей им.Ф.Достоевского;18713;4296;12201;1;314;22.6;18
"Городской музей ""Искусство Омска""";10222;3150;0;3;314;7.2;24
Военно-исторический музей Псковской обл.;7628;5894;230;5;314;14;23
"Гос. музей-заповедник ""Изборск""";57032;5432;1380;23;363;469;92
Гдовский музей истории края;173;4;0;1;310;2.8;5
Краеведческий музей города Великие Луки;2722;940;3662;2;309;16.3;17
Краеведческий музей Дружбы народов истории Пыталовского края;2083;75;682;1;247;2.2;6
Литературно-мемориальный дом-музей им.А.Алтаева;1803;936;697;1;314;1;3
Полибинский мем.музей-усадьда С.Ковалевской;1023;816;254;2;314;1.8;6
Литературно-художественный музей им.писателя И.Васильева;155;424;0;4;246;1.2;4
Новошахтинский ист.-краеведческий музей;2422;121;2375;1;247;2.8;6
Ростовский обл.музей краеведения;241512;137114;129820;6;317;205.2;81
Сосновоозерская картинная галерея;2444;259;320;1;247;2.3;3
